Timestamp,Which of the following best describe(s) how you think of yourself? (Please note that this survey is intended for people who are not just men all the time or just women all the time.),"In a magical world where all title fields on forms were optional and write-your-own, what would you want yours to be?","Supposing all pronouns were accepted by everyone without question and were easy to learn, which pronouns are you happy for people to use for you?",Feedback
08/02/2015 18:35:12,"Genderqueer, Nonbinary",Mx,They/them (singular they),
08/02/2015 18:38:04,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
08/02/2015 18:38:10,"Agender, Fluid gender/genderfluid, Nonbinary, Trans, Transgender",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 18:41:21,"Genderqueer, Nonbinary",Mr,"He/him, They/them (singular they)",
08/02/2015 18:41:57,"Agender, Neutral, Neutrois, Nonbinary",No title at all,"Co/co, Ey/em (Spivak), They/them (singular they), Xe (any variation)",
08/02/2015 18:43:28,"Nonbinary, Questioning or unknown",No title at all,"They/them (singular they), ne/nem",
08/02/2015 18:47:04,Agender,Mx,"Ey/em (Spivak), They/them (singular they), xe/xem",
08/02/2015 18:50:34,"Nonbinary, Trans, Woman",Ms,She/her,
08/02/2015 18:52:13,"Fluid gender/genderfluid, Genderqueer, Neutral, Neutrois, Nonbinary, Trans, Transgender, demigender",Mx,They/them (singular they),
08/02/2015 18:52:48,"Man, Trans, Transgender",Mr,"He/him, They/them (singular they)",
08/02/2015 18:53:02,"Agender, Genderqueer, Nonbinary",Mx,"They/them (singular they), Still trying to figure this out, I particularly like kye/kyr/kyr and xe/xem/xyr",
08/02/2015 18:53:20,"Androgyne, Nonbinary, Trans, Transgender, polygender, mixed gender",Mx,"They/them (singular they), sea/sim/sear/sears/simself",
08/02/2015 18:54:05,Fluid gender/genderfluid,No title at all,They/them (singular they),
08/02/2015 18:55:18,"Genderqueer, Nonbinary, Trans",No title at all,He/him,
08/02/2015 18:56:27,"Agender, Genderqueer, Neutral, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
08/02/2015 18:57:12,"Androgyne, Fluid gender/genderfluid, Nonbinary, Trans, Transgender, Transmasculine",No title at all,"None/avoid pronouns, They/them (singular they)",
08/02/2015 18:57:25,"Genderqueer, Nonbinary, Trans*, Transgender",No title at all,"He/him, She/her, They/them (singular they)",
08/02/2015 18:58:57,"Androgyne, Nonbinary, Trans",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 18:59:01,"Agender, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
08/02/2015 19:00:15,"Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
08/02/2015 19:00:31,"Agender, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary",Mx,He/him,
08/02/2015 19:00:32,"Neutrois, Nonbinary, Transgender",Mx,"Ey/em (Spivak), None/avoid pronouns, She/her, They/them (singular they)",
08/02/2015 19:00:48,"Agender, Genderqueer, Neutral, Nonbinary, Questioning or unknown, Woman",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 19:03:28,"Nonbinary, Questioning or unknown",Mx,"He/him, They/them (singular they)",
08/02/2015 19:04:14,"Agender, Nonbinary, Transgender, Woman, Trans (no asterisk)",No title at all,Questioning or unknown,
08/02/2015 19:07:36,"Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Questioning or unknown, Trans*, Woman",Doctor,"Any, He/him, None/avoid pronouns, She/her, They/them (singular they)",
08/02/2015 19:12:31,"Nonbinary, Trans, Transgender",Mx,They/them (singular they),
08/02/2015 19:12:40,"Nonbinary, Woman, Demigender ",Miss,"She/her, They/them (singular they)",
08/02/2015 19:13:29,Nonbinary,No title at all,"Ey/em (Spivak), None/avoid pronouns",
08/02/2015 19:17:14,"Agender, Nonbinary, Transgender",Misc,They/them (singular they),
08/02/2015 19:18:38,"Fluid gender/genderfluid, Genderqueer, Intergender, Nonbinary",No title at all,"Co/co, Ey/em (Spivak)",
08/02/2015 19:18:51,"Fluid gender/genderfluid, Nonbinary, Trans, Transgender",No title at all,"He/him, Zie/hir, or some variation thereof",
08/02/2015 19:20:04,"Androgyne, Genderqueer",No title at all,They/them (singular they),
08/02/2015 19:20:16,"Fluid gender/genderfluid, Genderqueer, Neutrois, Nonbinary, Trans, Woman",No title at all,She/her,
08/02/2015 19:20:25,"Genderqueer, Nonbinary, Questioning or unknown",No title at all,They/them (singular they),
08/02/2015 19:20:30,"Nonbinary, Demigirl",Miss,"She/her, They/them (singular they)",
08/02/2015 19:23:16,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman, Femme",No title at all,"Any, None/avoid pronouns, They/them (singular they)",
08/02/2015 19:23:26,Agender,No title at all,"None/avoid pronouns, They/them (singular they)",
08/02/2015 19:24:15,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman, Femme",No title at all,"Any, None/avoid pronouns, They/them (singular they)",
08/02/2015 19:28:59,"Agender, Nonbinary, Trans*, Transgender",No title at all,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 19:33:23,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans",Mx,"None/avoid pronouns, They/them (singular they), myr/myrs",
08/02/2015 19:36:46,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
08/02/2015 19:42:43,"Androgyne, Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans*, Transgender, Woman",No title at all,"He/him, None/avoid pronouns, Questioning or unknown, She/her, They/them (singular they)",
08/02/2015 19:46:47,"Genderqueer, Trans, Woman",No title at all,"She/her, They/them (singular they)",
08/02/2015 19:50:33,Agender,Mx,They/them (singular they),
08/02/2015 19:52:49,"Intergender, Nonbinary, Trans",No title at all,They/them (singular they),
08/02/2015 19:53:34,Fluid gender/genderfluid,No title at all,Ey/em (Spivak),
08/02/2015 19:54:24,Agender,No title at all,"Ey/em (Spivak), They/them (singular they)",
08/02/2015 20:01:18,"Genderqueer, Trans*, Woman",No title at all,"She/her, They/them (singular they)",
08/02/2015 20:01:47,"Fluid gender/genderfluid, Nonbinary",Mx,They/them (singular they),
08/02/2015 20:02:37,"Androgyne, Fluid gender/genderfluid, Man, Nonbinary",No title at all,They/them (singular they),
08/02/2015 20:03:22,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,They/them (singular they),
08/02/2015 20:04:06,Transgender,Mx,"He/him, They/them (singular they)",
08/02/2015 20:04:55,"Agender, Fluid gender/genderfluid, Nonbinary, Trans",Mx,They/them (singular they),
08/02/2015 20:07:44,"Agender, Nonbinary",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 20:08:22,"Fluid gender/genderfluid, Genderqueer",Mx,"Any, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 20:08:55,"Genderqueer, Trans*, Woman",Mx,She/her,
08/02/2015 20:10:29,Genderqueer,Mx,They/them (singular they),
08/02/2015 20:13:07,"Cisgender, Neutral",Mx,"Questioning or unknown, She/her, They/them (singular they)",
08/02/2015 20:14:52,Fluid gender/genderfluid,No title at all,"Co/co, Ey/em (Spivak), He/him, None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 20:15:00,"Genderqueer, Nonbinary, Trans*, Transgender",Mx,"Ey/em (Spivak), He/him, None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 20:16:34,Questioning or unknown,No title at all,They/them (singular they),
08/02/2015 20:18:32,"Agender, Genderqueer, Neutral, Nonbinary",Mx,"They/them (singular they), Name/nameself",
08/02/2015 20:21:45,"Agender, Genderqueer, Transgender",No title at all,They/them (singular they),
08/02/2015 20:22:32,"Genderqueer, Nonbinary, Trans, Transgender, demiboy",No title at all,"He/him, They/them (singular they)",
08/02/2015 20:27:49,"Androgyne, Genderqueer, Neutrois, Nonbinary",Mx,They/them (singular they),
08/02/2015 20:30:57,"Agender, Genderqueer, Trans*",No title at all,They/them (singular they),
08/02/2015 20:31:24,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Woman",Mx,"None/avoid pronouns, She/her, They/them (singular they)",
08/02/2015 20:33:44,"Fluid gender/genderfluid, Man, Nonbinary, Woman",Miss,They/them (singular they),
08/02/2015 20:35:43,"Androgyne, Fluid gender/genderfluid, Woman",Mx,They/them (singular they),
08/02/2015 20:36:26,"Fluid gender/genderfluid, Intergender, Nonbinary, Trans*",No title at all,Any,
08/02/2015 20:37:46,"Agender, Androgyne, Intergender, Nonbinary, Trans, Trans*",No title at all,"Any, They/them (singular they)",
08/02/2015 20:41:10,"Agender, Fluid gender/genderfluid, Nonbinary, Trans, Transgender",No title at all,"He/him, fae/faer/faers/faerself ",
08/02/2015 20:42:50,Transgender,No title at all,They/them (singular they),
08/02/2015 20:43:17,"Bigender, Nonbinary, Trans, Transgender, Demigender (demiboy)",Mx,"Co/co, They/them (singular they)",
08/02/2015 20:45:01,"Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
08/02/2015 20:45:42,"Neutral, Nonbinary, Trans, Other",I don't know,"He/him, They/them (singular they)",
08/02/2015 20:46:12,"Agender, Fluid gender/genderfluid, Nonbinary, Trans, Transgender, Maleish",No title at all,"Ey/em (Spivak), They/them (singular they), A mixture of pronouns where people keep varying them",
08/02/2015 20:48:43,Nonbinary,Mx,He/him,
08/02/2015 20:49:24,Man,No title at all,They/them (singular they),
08/02/2015 20:50:31,"Androgyne, Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Transgender, Woman",Mx,"Any, He/him, She/her, They/them (singular they)",
08/02/2015 20:53:41,"Nonbinary, Questioning or unknown, Trans",No title at all,They/them (singular they),
08/02/2015 20:56:46,"Genderqueer, Nonbinary, Trans, Trans*, Transgender",Mx,They/them (singular they),
08/02/2015 20:58:23,"Androgyne, Nonbinary, Trans",Mx,"Any, They/them (singular they)",
08/02/2015 21:00:22,"Androgyne, Genderqueer, Neutral, Neutrois, Nonbinary, Questioning or unknown",Mx,"It/that, They/them (singular they)",
08/02/2015 21:02:36,"Nonbinary, Trans, Transgender, Woman",Mx,"She/her, ve/ver/vis",
08/02/2015 21:02:41,"Nonbinary, Trans*, Transgender",No title at all,They/them (singular they),
08/02/2015 21:03:31,"Agender, Fluid gender/genderfluid, Neutral, Nonbinary, Woman, Female",Miss,"She/her, They/them (singular they), I don't like any of the current ones but I wish there were standard gender neutral in English",
08/02/2015 21:05:16,"Fluid gender/genderfluid, Nonbinary, Third Gender, Trans, Woman",Ms,"She/her, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 21:07:41,Nonbinary,Mx,They/them (singular they),
08/02/2015 21:08:07,"Agender, Neutral, Neutrois, Nonbinary, Trans",Mx,They/them (singular they),
08/02/2015 21:08:30,"Genderqueer, Nonbinary",Mx,They/them (singular they),
08/02/2015 21:14:23,Third Gender,Mx,They/them (singular they),
08/02/2015 21:14:24,Neutral,Ms,Any,
08/02/2015 21:18:05,"Neutral, Nonbinary",Miss,Any,
08/02/2015 21:21:53,"Agender, Genderqueer, Man, Nonbinary, Trans, Trans*, Transgender",Mx,"He/him, They/them (singular they)",
08/02/2015 21:24:34,Trans,Ms,She/her,
08/02/2015 21:25:11,"Agender, Nonbinary",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 21:27:21,"Agender, Trans, Transgender",No title at all,"None/avoid pronouns, They/them (singular they)",
08/02/2015 21:29:39,"Agender, Nonbinary, Trans, Trans*, Transgender, Queer",Mx,"None/avoid pronouns, They/them (singular they)",
08/02/2015 21:34:46,"Agender, Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), It/that, They/them (singular they)",
08/02/2015 21:35:57,"Fluid gender/genderfluid, Genderqueer, Nonbinary",Mx,They/them (singular they),
08/02/2015 21:36:24,"Genderqueer, Nonbinary, Third Gender, Trans, Transgender",Mx,"They/them (singular they), Zie/hir, or some variation thereof, Ou/ou",
08/02/2015 21:37:34,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), He/him, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 21:37:57,"Agender, Nonbinary, Trans",Mx,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 21:57:03,"Agender, Genderqueer, Nonbinary, Trans, Transgender",No title at all,"He/him, They/them (singular they)",
08/02/2015 21:58:34,"Agender, Questioning or unknown",No title at all,Any,
08/02/2015 22:01:10,Fluid gender/genderfluid,No title at all,"He/him, They/them (singular they)",
08/02/2015 22:04:17,"Androgyne, Genderqueer, Nonbinary, Enby (shortened term for Nonbinary, heard recently)",Mx,They/them (singular they),
08/02/2015 22:05:29,"Nonbinary, Trans",No title at all,They/them (singular they),
08/02/2015 22:11:13,"Agender, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 22:12:39,"Agender, Fluid gender/genderfluid, Genderqueer, Neutrois, Nonbinary, Trans, Transgender, Woman, Soft butch",Ms,"She/her, They/them (singular they), Ar",
08/02/2015 22:14:49,Nonbinary,Mx,They/them (singular they),
08/02/2015 22:18:41,"Genderqueer, Nonbinary, Trans, Trans*, Transmasculine",Mx,"He/him, They/them (singular they)",
08/02/2015 22:19:27,"Agender, Nonbinary",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
08/02/2015 22:30:28,"Agender, Androgyne, Fluid gender/genderfluid, Man, Nonbinary, Woman",Mx,They/them (singular they),
08/02/2015 22:33:12,"Agender, Nonbinary, Trans*, Transgender",Mx,"None/avoid pronouns, They/them (singular they)",
08/02/2015 22:37:17,Bigender,Misc,They/them (singular they),
08/02/2015 22:38:31,"Agender, Genderqueer, Questioning or unknown, Genderflux",Mx,They/them (singular they),
08/02/2015 22:40:11,Nonbinary,No title at all,"None/avoid pronouns, Just my name",
08/02/2015 22:46:05,Trans*,No title at all,They/them (singular they),
08/02/2015 22:50:46,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",No title at all,"Any, None/avoid pronouns, They/them (singular they)",
08/02/2015 22:52:26,"Agender, Neutral, Nonbinary, Trans*",Mx,They/them (singular they),
08/02/2015 22:53:06,"Genderqueer, Nonbinary, Trans, Transgender",No title at all,"Ey/em (Spivak), None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 22:58:40,"Androgyne, Bigender, Genderqueer, Questioning or unknown",Ms,"Questioning or unknown, She/her, They/them (singular they)",
08/02/2015 23:32:36,"Agender, Androgyne, Fluid gender/genderfluid, Man, Nonbinary, Trans",Mx,"He/him, They/them (singular they)",
08/02/2015 23:58:59,"Agender, Fluid gender/genderfluid, Nonbinary, Trans",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 00:05:17,"Fluid gender/genderfluid, Genderqueer, Woman",No title at all,"She/her, They/them (singular they)",
09/02/2015 00:27:24,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"She/her, They/them (singular they)",
09/02/2015 00:44:00,"Agender, Neutral, Nonbinary, genderflux",No title at all,"Ey/em (Spivak), They/them (singular they), Ne/nem/nir/nemself",
09/02/2015 01:05:54,"Agender, Nonbinary",No title at all,"Any, They/them (singular they)",
09/02/2015 01:09:16,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*",No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 01:12:04,"Agender, Nonbinary, Trans, Transgender",Mx,"He/him, It/that, None/avoid pronouns, They/them (singular they), (It/that only by people i am familiar with)",
09/02/2015 01:35:26,"Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans*",Mx,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",Thanks for doing this =)
09/02/2015 01:51:07,"Agender, Man, Nonbinary, Trans, Transgender",Mx,It/that,
09/02/2015 01:51:29,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 01:58:28,"Fluid gender/genderfluid, Genderqueer, Trans*",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 02:17:59,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender, transwoman",No title at all,"It/that, They/them (singular they)",
09/02/2015 02:27:16,Fluid gender/genderfluid,No title at all,They/them (singular they),
09/02/2015 02:47:35,Agender,Mx,"None/avoid pronouns, They/them (singular they)",
09/02/2015 03:08:47,"Agender, Genderqueer, Neutral, Neutrois, Nonbinary, Questioning or unknown, Trans, Trans*, Transgender",No title at all,They/them (singular they),
09/02/2015 06:16:24,"Agender, Neutral, Nonbinary, Woman",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 07:03:46,Agender,No title at all,"He/him, None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 07:11:16,Fluid gender/genderfluid,No title at all,They/them (singular they),
09/02/2015 08:06:12,"Genderqueer, Nonbinary, Trans, Transgender",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 09:28:28,"Androgyne, Fluid gender/genderfluid, Genderqueer, Intergender, Third Gender, Trans, Trans*, Transgender, Woman",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 09:57:06,"Fluid gender/genderfluid, Neutral",No title at all,They/them (singular they),
09/02/2015 09:59:52,Trans*,Mx,He/him,
09/02/2015 10:07:39,"Genderqueer, Nonbinary, Trans, Trans*, Woman",Mx,They/them (singular they),
09/02/2015 10:09:45,"Nonbinary, Trans, Transgender, Woman, female-body-identified nonbinary trans",No title at all,"She/her, They/them (singular they)",
09/02/2015 10:10:50,"Agender, Fluid gender/genderfluid, Genderqueer, Man, Neutral, Neutrois, Nonbinary, Trans, Trans*, Transgender",,"He/him, She/her, They/them (singular they)",
09/02/2015 10:13:18,"Androgyne, Genderqueer, Trans, Transgender",No title at all,They/them (singular they),
09/02/2015 10:16:42,"Agender, Nonbinary, Questioning or unknown, Trans",Mx,They/them (singular they),
09/02/2015 10:19:43,Fluid gender/genderfluid,Mx,They/them (singular they),
09/02/2015 10:20:17,"Bigender, Cisgender, Nonbinary, Woman",No title at all,"She/her, They/them (singular they)",
09/02/2015 10:29:55,"Trans, Woman",No title at all,"She/her, Zie/hir, or some variation thereof",
09/02/2015 10:39:32,"Bigender, Woman",No title at all,"Ey/em (Spivak), He/him, She/her, They/them (singular they)",
09/02/2015 10:43:08,"Fluid gender/genderfluid, Questioning or unknown",Mx,They/them (singular they),
09/02/2015 10:48:59,"Agender, Nonbinary",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 10:52:48,"Agender, Androgyne, Bigender, Fluid gender/genderfluid, Genderqueer, Intergender, Neutral, Nonbinary, Third Gender, Trans, Transgender, Chameleon, Femmale, Femneutral, Bigender, Trigender",No title at all,They/them (singular they),
09/02/2015 10:53:51,Trans Neutral,Mx,They/them (singular they),
09/02/2015 10:53:57,"Nonbinary, Trans*",No title at all,It/that,
09/02/2015 10:54:35,"Androgyne, Cisgender, Fluid gender/genderfluid, Genderqueer, Questioning or unknown, Woman",No title at all,They/them (singular they),
09/02/2015 10:55:28,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans, Transgender",No title at all,They/them (singular they),
09/02/2015 11:05:13,"Agender, Nonbinary, Transgender",Mx,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 11:07:14,"Agender, Androgyne, Genderqueer, Neutral, Neutrois, Nonbinary",No title at all,"They/them (singular they), Ne/Nem/Nir",
09/02/2015 11:15:57,Transgender,Miss,She/her,
09/02/2015 11:16:11,"Genderqueer, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 11:16:51,Man,No title at all,None/avoid pronouns,
09/02/2015 11:19:51,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
09/02/2015 11:20:31,"Agender, Nonbinary, Trans",Mx,"He/him, They/them (singular they)",
09/02/2015 11:22:29,"Bigender, Man, Nonbinary, Trans, Transgender, nonbinary trans man",No title at all,"He/him, They/them (singular they)",
09/02/2015 11:22:39,Woman,Mx,"Any, Co/co, Ey/em (Spivak), It/that, None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 11:24:31,Questioning or unknown,No title at all,They/them (singular they),
09/02/2015 11:25:26,"Androgyne, Fluid gender/genderfluid, Genderqueer",Ms,They/them (singular they),
09/02/2015 11:28:00,"Nonbinary, Questioning or unknown, Trans, Transgender, genderfucked, genderlost",No title at all,"They/them (singular they), Neopronouns",
09/02/2015 11:29:57,intersexed queer,Maes (referring to Maestro),It/that,
09/02/2015 11:30:17,"Androgyne, Genderqueer, Intergender, Nonbinary, Trans",Mx,They/them (singular they),"While titles seem largely unnecessary and an ideal world may not have them, pronouns and reference are still gendered, and a title provides a convenient way to self-identify and convey gender identity (and therefore, to an extent, pronouns) without actually having to record that specific information. In an ideal future in which language itself is not gendered, then the need for titles is severely decreased."
09/02/2015 11:30:30,"Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Third Gender, Trans*",Mr,"He/him, They/them (singular they), Zie/hir, or some variation thereof","It's strange for me to see 'man' and 'woman' on the form, because as someone that identifies as a non-binary/gender-fluid male, I see myself as a man, because most of society does. However, I think this is more of a physical and bodily understanding of gender. I've ticked man, because it does apply, but I think it applies more physically than anything else. I suppose this option was there more for transsexual people / transitioning people, who would identify solely as the opposite sex-based binary to the one they were assigned at birth. For non-binary people though this option could pose a bit of a difficult question, because I think one can identify as male sometimes and female sometimes, because they are internal 'gender' terms. Man and Woman on the other hand imply more of a constant if you're not transitioning physically. My masculinity and femininity levels fluctuate constantly, but I will always remain a man. "
09/02/2015 11:30:44,"Androgyne, Fluid gender/genderfluid, Neutral",No title at all,"Co/co, He/him, She/her, They/them (singular they)",
09/02/2015 11:32:53,Woman,Miss,She/her,
09/02/2015 11:33:44,"Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 11:36:53,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Trans*",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 11:39:00,Nonbinary,Mx,"Zie/hir, or some variation thereof",
09/02/2015 11:42:07,"Genderqueer, Nonbinary, Transgender",Mx,They/them (singular they),
09/02/2015 11:45:14,"Genderqueer, Nonbinary",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 11:45:59,"Genderqueer, Neutral, Nonbinary, Transgender",No title at all,They/them (singular they),
09/02/2015 11:47:46,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",Mx,"It/that, They/them (singular they)",
09/02/2015 11:47:52,Genderqueer,No title at all,They/them (singular they),
09/02/2015 11:52:54,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,Any,
09/02/2015 11:56:38,Nonbinary,Miss,"He/him, She/her, They/them (singular they)",
09/02/2015 12:05:37,Transgender,Ms,Any,
09/02/2015 12:05:43,"Nonbinary, Third Gender, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 12:05:50,"Agender, Genderqueer, Nonbinary, Woman, Genderflux",Mx,"She/her, They/them (singular they)","I just wanted to specify a little about genderflux- it might be helpful for you, I don't know. I found genderflux through glittergrim on Tumblr, and it means genderfluid between a specified gender and agender. My gender fluctuates in intensity of identity over time, but I am female to vayring degrees depending on the day/week/month etc. 

Also - great job on having an 'other' space for the labels question - super useful!"
09/02/2015 12:06:34,"Agender, Neutral, Nonbinary, Trans",Msc,They/them (singular they),thanks for doing this survey!
09/02/2015 12:06:45,Nonbinary,Mx,They/them (singular they),
09/02/2015 12:07:29,"Fluid gender/genderfluid, Nonbinary",No title at all,They/them (singular they),
09/02/2015 12:09:42,"Agender, Fluid gender/genderfluid, Neutral, Nonbinary, Questioning or unknown, Trans",Mx,"Any, He/him, They/them (singular they)",
09/02/2015 12:13:57,"Agender, Neutral, Neutrois",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 12:14:24,"Bigender, Genderqueer, Woman, demi girl",Ms,"She/her, xe/xim",
09/02/2015 12:17:14,"Agender, Androgyne, Trans*",No title at all,They/them (singular they),
09/02/2015 12:21:02,"Agender, Man, Nonbinary, Trans, Transgender",No title at all,"He/him, They/them (singular they)",
09/02/2015 12:21:51,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*",No title at all,"It/that, They/them (singular they)",
09/02/2015 12:23:05,"Genderqueer, Nonbinary, Trans, Trans*, Transgender",No title at all,They/them (singular they),
09/02/2015 12:27:05,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 12:28:03,"Nonbinary, Transgender, Woman",Mx,"She/her, They/them (singular they)",
09/02/2015 12:30:24,"Agender, Neutral, Nonbinary",Mx,They/them (singular they),
09/02/2015 12:33:27,Genderqueer,No title at all,She/her,
09/02/2015 12:34:52,"Agender, Androgyne, Genderqueer, Neutral, Neutrois, Nonbinary, Trans, Transgender",Mx,"Co/co, Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 12:37:46,"Agender, Man",No title at all,They/them (singular they),
09/02/2015 12:39:35,"Genderqueer, Nonbinary, Trans, Trans*",No title at all,They/them (singular they),
09/02/2015 12:43:55,Woman,Mrs,None/avoid pronouns,
09/02/2015 12:44:53,Third Gender,No title at all,Any,I need info
09/02/2015 12:46:11,"Nonbinary, Trans, I am non-gendered and trans female (adjective, not noun)",No title at all,"Ey/em (Spivak), None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof, xe/xyr ",
